"NFGOVCOFOG_FUNCTION","Government function","NFGOVCOFOG_ITEM","Item","NFGOVCOFOG_SECTOR","Institutional sector","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"TOT","Total","D4","Property income paid (D.4)","S1312","Communities and regions","A","Annual","2017","2017",1316.1,,
"TOT","Total","D4","Property income paid (D.4)","S1313","Local government","A","Annual","2017","2017",336.3,,
"TOT","Total","D4","Property income paid (D.4)","S1314","Social security funds","A","Annual","2017","2017",11,,
"TOT","Total","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1300","General government","A","Annual","2017","2017",109940.8,,
"TOT","Total","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1311","Federal government","A","Annual","2017","2017",5658.9,,
"TOT","Total","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1312","Communities and regions","A","Annual","2017","2017",22228,,
"TOT","Total","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1313","Local government","A","Annual","2017","2017",3309.9,,
"TOT","Total","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1314","Social security funds","A","Annual","2017","2017",78744,,
"TOT","Total","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1300","General government","A","Annual","2017","2017",17582.4,,
"TOT","Total","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1311","Federal government","A","Annual","2017","2017",3083,,
"TOT","Total","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1312","Communities and regions","A","Annual","2017","2017",8439.9,,
"TOT","Total","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1313","Local government","A","Annual","2017","2017",5055.3,,
"TOT","Total","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1314","Social security funds","A","Annual","2017","2017",1004.3,,
"TOT","Total","D7","Other current transfers (D.7)","S1300","General government","A","Annual","2017","2017",7901.6,,
"TOT","Total","D7","Other current transfers (D.7)","S1311","Federal government","A","Annual","2017","2017",81743.7,,
"TOT","Total","D7","Other current transfers (D.7)","S1312","Communities and regions","A","Annual","2017","2017",11970.6,,
"TOT","Total","D7","Other current transfers (D.7)","S1313","Local government","A","Annual","2017","2017",1094.4,,
"TOT","Total","D7","Other current transfers (D.7)","S1314","Social security funds","A","Annual","2017","2017",10444,,
"TOT","Total","D9","Capital transfers (D.9)","S1300","General government","A","Annual","2017","2017",4130.5,,
"TOT","Total","D9","Capital transfers (D.9)","S1311","Federal government","A","Annual","2017","2017",2099.8,,
"TOT","Total","D9","Capital transfers (D.9)","S1312","Communities and regions","A","Annual","2017","2017",2551.6,,
"TOT","Total","D9","Capital transfers (D.9)","S1313","Local government","A","Annual","2017","2017",284.5,,
"TOT","Total","D9","Capital transfers (D.9)","S1314","Social security funds","A","Annual","2017","2017",59.4,,
"TOT","Total","P3","Final consumption expenditure (P.3)","S1300","General government","A","Annual","2017","2017",102200.8,,
"TOT","Total","P3","Final consumption expenditure (P.3)","S1311","Federal government","A","Annual","2017","2017",11864.2,,
"TOT","Total","P3","Final consumption expenditure (P.3)","S1312","Communities and regions","A","Annual","2017","2017",40772.8,,
"TOT","Total","P3","Final consumption expenditure (P.3)","S1313","Local government","A","Annual","2017","2017",21051.6,,
"TOT","Total","P3","Final consumption expenditure (P.3)","S1314","Social security funds","A","Annual","2017","2017",28512.2,,
"F01","01 General public services","TOT","Total government expenditure","S1300","General government","A","Annual","2017","2017",31816.9,,
"F01","01 General public services","TOT","Total government expenditure","S1311","Federal government","A","Annual","2017","2017",80423.6,,
"F01","01 General public services","TOT","Total government expenditure","S1312","Communities and regions","A","Annual","2017","2017",14194.6,,
"F01","01 General public services","TOT","Total government expenditure","S1313","Local government","A","Annual","2017","2017",5764.5,,
"F01","01 General public services","TOT","Total government expenditure","S1314","Social security funds","A","Annual","2017","2017",48.7,,
"F01","01 General public services","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1300","General government","A","Annual","2017","2017",3132.5,,
"F01","01 General public services","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1311","Federal government","A","Annual","2017","2017",632.3,,
"F01","01 General public services","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1312","Communities and regions","A","Annual","2017","2017",2177.1,,
"F01","01 General public services","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1313","Local government","A","Annual","2017","2017",307.9,,
"F01","01 General public services","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1314","Social security funds","A","Annual","2017","2017",15.1,,
"F01","01 General public services","D1","Compensation of employees (D.1)","S1300","General government","A","Annual","2017","2017",8833.8,,
"F01","01 General public services","D1","Compensation of employees (D.1)","S1311","Federal government","A","Annual","2017","2017",2480,,
"F01","01 General public services","D1","Compensation of employees (D.1)","S1312","Communities and regions","A","Annual","2017","2017",3118.4,,
"F01","01 General public services","D1","Compensation of employees (D.1)","S1313","Local government","A","Annual","2017","2017",3235.4,,
"F01","01 General public services","D1","Compensation of employees (D.1)","S1314","Social security funds","A","Annual","2017","2017",0,,
"F01","01 General public services","D3","Subsidies (D.3)","S1300","General government","A","Annual","2017","2017",0,,
"F01","01 General public services","D3","Subsidies (D.3)","S1311","Federal government","A","Annual","2017","2017",0,,
"F01","01 General public services","D3","Subsidies (D.3)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01","01 General public services","D3","Subsidies (D.3)","S1313","Local government","A","Annual","2017","2017",0,,
"F01","01 General public services","D3","Subsidies (D.3)","S1314","Social security funds","A","Annual","2017","2017",0,,
"F01","01 General public services","D4","Property income paid (D.4)","S1300","General government","A","Annual","2017","2017",10870.4,,
"F01","01 General public services","D4","Property income paid (D.4)","S1311","Federal government","A","Annual","2017","2017",9545.8,,
"F01","01 General public services","D4","Property income paid (D.4)","S1312","Communities and regions","A","Annual","2017","2017",1316.1,,
"F01","01 General public services","D4","Property income paid (D.4)","S1313","Local government","A","Annual","2017","2017",336.3,,
"F01","01 General public services","D4","Property income paid (D.4)","S1314","Social security funds","A","Annual","2017","2017",11,,
"F01","01 General public services","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1300","General government","A","Annual","2017","2017",0,,
"F01","01 General public services","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1311","Federal government","A","Annual","2017","2017",0,,
"F01","01 General public services","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01","01 General public services","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1313","Local government","A","Annual","2017","2017",0,,
"F01","01 General public services","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1314","Social security funds","A","Annual","2017","2017",0,,
"F01","01 General public services","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1300","General government","A","Annual","2017","2017",4221.4,,
"F01","01 General public services","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1311","Federal government","A","Annual","2017","2017",1090.4,,
"F01","01 General public services","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1312","Communities and regions","A","Annual","2017","2017",1763.4,,
"F01","01 General public services","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1313","Local government","A","Annual","2017","2017",1364,,
"F01","01 General public services","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1314","Social security funds","A","Annual","2017","2017",3.6,,
"F01","01 General public services","D7","Other current transfers (D.7)","S1300","General government","A","Annual","2017","2017",4221.9,,
"F01","01 General public services","D7","Other current transfers (D.7)","S1311","Federal government","A","Annual","2017","2017",66261.3,,
"F01","01 General public services","D7","Other current transfers (D.7)","S1312","Communities and regions","A","Annual","2017","2017",5482.6,,
"F01","01 General public services","D7","Other current transfers (D.7)","S1313","Local government","A","Annual","2017","2017",419.5,,
"F01","01 General public services","D7","Other current transfers (D.7)","S1314","Social security funds","A","Annual","2017","2017",19.1,,
"F01","01 General public services","D9","Capital transfers (D.9)","S1300","General government","A","Annual","2017","2017",536.9,,
"F01","01 General public services","D9","Capital transfers (D.9)","S1311","Federal government","A","Annual","2017","2017",413.8,,
"F01","01 General public services","D9","Capital transfers (D.9)","S1312","Communities and regions","A","Annual","2017","2017",336.8,,
"F01","01 General public services","D9","Capital transfers (D.9)","S1313","Local government","A","Annual","2017","2017",101.4,,
"F01","01 General public services","D9","Capital transfers (D.9)","S1314","Social security funds","A","Annual","2017","2017",0,,
"F01","01 General public services","P3","Final consumption expenditure (P.3)","S1300","General government","A","Annual","2017","2017",9903.7,,
"F01","01 General public services","P3","Final consumption expenditure (P.3)","S1311","Federal government","A","Annual","2017","2017",2288.9,,
"F01","01 General public services","P3","Final consumption expenditure (P.3)","S1312","Communities and regions","A","Annual","2017","2017",2359,,
"F01","01 General public services","P3","Final consumption expenditure (P.3)","S1313","Local government","A","Annual","2017","2017",5252.1,,
"F01","01 General public services","P3","Final consumption expenditure (P.3)","S1314","Social security funds","A","Annual","2017","2017",3.6,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","TOT","Total government expenditure","S1300","General government","A","Annual","2017","2017",9400.3,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","TOT","Total government expenditure","S1311","Federal government","A","Annual","2017","2017",6102.8,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","TOT","Total government expenditure","S1312","Communities and regions","A","Annual","2017","2017",879.1,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","TOT","Total government expenditure","S1313","Local government","A","Annual","2017","2017",2414.4,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","TOT","Total government expenditure","S1314","Social security funds","A","Annual","2017","2017",19.1,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1300","General government","A","Annual","2017","2017",452.2,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1311","Federal government","A","Annual","2017","2017",374.6,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1312","Communities and regions","A","Annual","2017","2017",25.9,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1313","Local government","A","Annual","2017","2017",51.7,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1314","Social security funds","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D1","Compensation of employees (D.1)","S1300","General government","A","Annual","2017","2017",4259.3,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D1","Compensation of employees (D.1)","S1311","Federal government","A","Annual","2017","2017",2059.1,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D1","Compensation of employees (D.1)","S1312","Communities and regions","A","Annual","2017","2017",420.3,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D1","Compensation of employees (D.1)","S1313","Local government","A","Annual","2017","2017",1779.9,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D1","Compensation of employees (D.1)","S1314","Social security funds","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D3","Subsidies (D.3)","S1300","General government","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D3","Subsidies (D.3)","S1311","Federal government","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D3","Subsidies (D.3)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D3","Subsidies (D.3)","S1313","Local government","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D3","Subsidies (D.3)","S1314","Social security funds","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D4","Property income paid (D.4)","S1300","General government","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D4","Property income paid (D.4)","S1311","Federal government","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D4","Property income paid (D.4)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D4","Property income paid (D.4)","S1313","Local government","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D4","Property income paid (D.4)","S1314","Social security funds","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1300","General government","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1311","Federal government","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1313","Local government","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1314","Social security funds","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1300","General government","A","Annual","2017","2017",1172.8,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1311","Federal government","A","Annual","2017","2017",349.6,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1312","Communities and regions","A","Annual","2017","2017",305.7,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1313","Local government","A","Annual","2017","2017",517.5,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1314","Social security funds","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D7","Other current transfers (D.7)","S1300","General government","A","Annual","2017","2017",3280.6,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D7","Other current transfers (D.7)","S1311","Federal government","A","Annual","2017","2017",3165.2,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D7","Other current transfers (D.7)","S1312","Communities and regions","A","Annual","2017","2017",81.6,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D7","Other current transfers (D.7)","S1313","Local government","A","Annual","2017","2017",29.8,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D7","Other current transfers (D.7)","S1314","Social security funds","A","Annual","2017","2017",19.1,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D9","Capital transfers (D.9)","S1300","General government","A","Annual","2017","2017",235.4,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D9","Capital transfers (D.9)","S1311","Federal government","A","Annual","2017","2017",154.4,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D9","Capital transfers (D.9)","S1312","Communities and regions","A","Annual","2017","2017",45.6,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D9","Capital transfers (D.9)","S1313","Local government","A","Annual","2017","2017",35.5,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D9","Capital transfers (D.9)","S1314","Social security funds","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P3","Final consumption expenditure (P.3)","S1300","General government","A","Annual","2017","2017",4747.4,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P3","Final consumption expenditure (P.3)","S1311","Federal government","A","Annual","2017","2017",2075.9,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P3","Final consumption expenditure (P.3)","S1312","Communities and regions","A","Annual","2017","2017",721.3,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P3","Final consumption expenditure (P.3)","S1313","Local government","A","Annual","2017","2017",1950.3,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P3","Final consumption expenditure (P.3)","S1314","Social security funds","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","TOT","Total government expenditure","S1300","General government","A","Annual","2017","2017",1046.5,,
"F01_2","01.2 Foreign economic aid","TOT","Total government expenditure","S1311","Federal government","A","Annual","2017","2017",992.1,,
"F01_2","01.2 Foreign economic aid","TOT","Total government expenditure","S1312","Communities and regions","A","Annual","2017","2017",39.7,,
"F01_2","01.2 Foreign economic aid","TOT","Total government expenditure","S1313","Local government","A","Annual","2017","2017",14.8,,
"F01_2","01.2 Foreign economic aid","TOT","Total government expenditure","S1314","Social security funds","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1300","General government","A","Annual","2017","2017",1.3,,
"F01_2","01.2 Foreign economic aid","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1311","Federal government","A","Annual","2017","2017",1.1,,
"F01_2","01.2 Foreign economic aid","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1312","Communities and regions","A","Annual","2017","2017",0.1,,
"F01_2","01.2 Foreign economic aid","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1313","Local government","A","Annual","2017","2017",0.1,,
"F01_2","01.2 Foreign economic aid","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1314","Social security funds","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","D1","Compensation of employees (D.1)","S1300","General government","A","Annual","2017","2017",50.2,,
"F01_2","01.2 Foreign economic aid","D1","Compensation of employees (D.1)","S1311","Federal government","A","Annual","2017","2017",38.7,,
"F01_2","01.2 Foreign economic aid","D1","Compensation of employees (D.1)","S1312","Communities and regions","A","Annual","2017","2017",7.5,,
"F01_2","01.2 Foreign economic aid","D1","Compensation of employees (D.1)","S1313","Local government","A","Annual","2017","2017",4,,
"F01_2","01.2 Foreign economic aid","D1","Compensation of employees (D.1)","S1314","Social security funds","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","D3","Subsidies (D.3)","S1300","General government","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","D3","Subsidies (D.3)","S1311","Federal government","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","D3","Subsidies (D.3)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","D3","Subsidies (D.3)","S1313","Local government","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","D3","Subsidies (D.3)","S1314","Social security funds","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","D4","Property income paid (D.4)","S1300","General government","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","D4","Property income paid (D.4)","S1311","Federal government","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","D4","Property income paid (D.4)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","D4","Property income paid (D.4)","S1313","Local government","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","D4","Property income paid (D.4)","S1314","Social security funds","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1300","General government","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1311","Federal government","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1313","Local government","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1314","Social security funds","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1300","General government","A","Annual","2017","2017",23.2,,
"F01_2","01.2 Foreign economic aid","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1311","Federal government","A","Annual","2017","2017",10.4,,
"F01_2","01.2 Foreign economic aid","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1312","Communities and regions","A","Annual","2017","2017",10.4,,
"F01_2","01.2 Foreign economic aid","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1313","Local government","A","Annual","2017","2017",2.4,,
"F01_2","01.2 Foreign economic aid","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1314","Social security funds","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","D7","Other current transfers (D.7)","S1300","General government","A","Annual","2017","2017",733.9,,
"F01_2","01.2 Foreign economic aid","D7","Other current transfers (D.7)","S1311","Federal government","A","Annual","2017","2017",703.9,,
"F01_2","01.2 Foreign economic aid","D7","Other current transfers (D.7)","S1312","Communities and regions","A","Annual","2017","2017",21.7,,
"F01_2","01.2 Foreign economic aid","D7","Other current transfers (D.7)","S1313","Local government","A","Annual","2017","2017",8.3,,
