"NFGOV_GOVTYPE","Government type","NFGOV_ITEM","Item","NFGOV_UNIT","Unit","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"S1300","General government","DTX_I","Households","E","Millions of euro","A","Annual","2018","2018",55906.5,,
"S1300","General government","DTX_C","Corporations","E","Millions of euro","A","Annual","2014","2014",12895,,
"S1300","General government","DTX_C","Corporations","E","Millions of euro","A","Annual","2015","2015",13960.7,,
"S1300","General government","DTX_C","Corporations","E","Millions of euro","A","Annual","2016","2016",15082.6,,
"S1300","General government","DTX_C","Corporations","E","Millions of euro","A","Annual","2017","2017",18419.4,,
"S1300","General government","DTX_C","Corporations","E","Millions of euro","A","Annual","2018","2018",20073.5,,
"S1300","General government","DTX_O","Other sectors","E","Millions of euro","A","Annual","2014","2014",998,,
"S1300","General government","DTX_O","Other sectors","E","Millions of euro","A","Annual","2015","2015",1012.3,,
"S1300","General government","DTX_O","Other sectors","E","Millions of euro","A","Annual","2016","2016",1073,,
"S1300","General government","DTX_O","Other sectors","E","Millions of euro","A","Annual","2017","2017",1021.4,,
"S1300","General government","DTX_O","Other sectors","E","Millions of euro","A","Annual","2018","2018",1091,,
"S1300","General government","ITX","Indirect taxes","E","Millions of euro","A","Annual","2014","2014",52100.6,,
"S1300","General government","ITX","Indirect taxes","E","Millions of euro","A","Annual","2015","2015",52875.6,,
"S1300","General government","ITX","Indirect taxes","E","Millions of euro","A","Annual","2016","2016",55378.1,,
"S1300","General government","ITX","Indirect taxes","E","Millions of euro","A","Annual","2017","2017",57265.7,,
"S1300","General government","ITX","Indirect taxes","E","Millions of euro","A","Annual","2018","2018",59305.2,,
"S1300","General government","SCA","Actual social contributions","E","Millions of euro","A","Annual","2014","2014",57163.5,,
"S1300","General government","SCA","Actual social contributions","E","Millions of euro","A","Annual","2015","2015",58757,,
"S1300","General government","SCA","Actual social contributions","E","Millions of euro","A","Annual","2016","2016",58058.4,,
"S1300","General government","SCA","Actual social contributions","E","Millions of euro","A","Annual","2017","2017",59666.7,,
"S1300","General government","SCA","Actual social contributions","E","Millions of euro","A","Annual","2018","2018",60910.7,,
"S1300","General government","KTX","Taxes on capital","E","Millions of euro","A","Annual","2014","2014",3899.6,,
"S1300","General government","KTX","Taxes on capital","E","Millions of euro","A","Annual","2015","2015",3638.8,,
"S1300","General government","KTX","Taxes on capital","E","Millions of euro","A","Annual","2016","2016",3346.5,,
"S1300","General government","KTX","Taxes on capital","E","Millions of euro","A","Annual","2017","2017",3617.7,,
"S1300","General government","KTX","Taxes on capital","E","Millions of euro","A","Annual","2018","2018",3770.9,,
"S1300","General government","1NF","Non-fiscal and non-parafiscal receipts","E","Millions of euro","A","Annual","2014","2014",28474.7,,
"S1300","General government","1NF","Non-fiscal and non-parafiscal receipts","E","Millions of euro","A","Annual","2015","2015",27809.3,,
"S1300","General government","1NF","Non-fiscal and non-parafiscal receipts","E","Millions of euro","A","Annual","2016","2016",29661.6,,
"S1300","General government","1NF","Non-fiscal and non-parafiscal receipts","E","Millions of euro","A","Annual","2017","2017",30924.5,,
"S1300","General government","1NF","Non-fiscal and non-parafiscal receipts","E","Millions of euro","A","Annual","2018","2018",31822.6,,
"S1300","General government","SCI","Imputed social contributions","E","Millions of euro","A","Annual","2014","2014",9609.2,,
"S1300","General government","SCI","Imputed social contributions","E","Millions of euro","A","Annual","2015","2015",9257.9,,
"S1300","General government","SCI","Imputed social contributions","E","Millions of euro","A","Annual","2016","2016",9549.7,,
"S1300","General government","SCI","Imputed social contributions","E","Millions of euro","A","Annual","2017","2017",9935,,
"S1300","General government","SCI","Imputed social contributions","E","Millions of euro","A","Annual","2018","2018",10256.1,,
"S1300","General government","INT_R","Received interests","E","Millions of euro","A","Annual","2014","2014",1509.1,,
"S1300","General government","INT_R","Received interests","E","Millions of euro","A","Annual","2015","2015",1399,,
"S1300","General government","INT_R","Received interests","E","Millions of euro","A","Annual","2016","2016",1401.3,,
"S1300","General government","INT_R","Received interests","E","Millions of euro","A","Annual","2017","2017",1335.5,,
"S1300","General government","INT_R","Received interests","E","Millions of euro","A","Annual","2018","2018",1404.6,,
"S1300","General government","OPI","Other property income","E","Millions of euro","A","Annual","2014","2014",2509.2,,
"S1300","General government","OPI","Other property income","E","Millions of euro","A","Annual","2015","2015",2196.3,,
"S1300","General government","OPI","Other property income","E","Millions of euro","A","Annual","2016","2016",2414.1,,
"S1300","General government","OPI","Other property income","E","Millions of euro","A","Annual","2017","2017",2669.8,,
"S1300","General government","OPI","Other property income","E","Millions of euro","A","Annual","2018","2018",2819.3,,
"S1300","General government","CUO","Current transfers from other sectors and received subsidies","E","Millions of euro","A","Annual","2014","2014",3486.6,,
"S1300","General government","CUO","Current transfers from other sectors and received subsidies","E","Millions of euro","A","Annual","2015","2015",3372.9,,
"S1300","General government","CUO","Current transfers from other sectors and received subsidies","E","Millions of euro","A","Annual","2016","2016",3225.9,,
"S1300","General government","CUO","Current transfers from other sectors and received subsidies","E","Millions of euro","A","Annual","2017","2017",3332,,
"S1300","General government","CUO","Current transfers from other sectors and received subsidies","E","Millions of euro","A","Annual","2018","2018",3482,,
"S1300","General government","CSG","Current sales of produced goods and services","E","Millions of euro","A","Annual","2014","2014",11134.8,,
"S1300","General government","CSG","Current sales of produced goods and services","E","Millions of euro","A","Annual","2015","2015",11381.9,,
"S1300","General government","CSG","Current sales of produced goods and services","E","Millions of euro","A","Annual","2016","2016",12445.4,,
"S1300","General government","CSG","Current sales of produced goods and services","E","Millions of euro","A","Annual","2017","2017",13195.7,,
"S1300","General government","CSG","Current sales of produced goods and services","E","Millions of euro","A","Annual","2018","2018",13595,,
"S1300","General government","CAO","Capital transfers from other sectors","E","Millions of euro","A","Annual","2014","2014",225.8,,
"S1300","General government","CAO","Capital transfers from other sectors","E","Millions of euro","A","Annual","2015","2015",201.3,,
"S1300","General government","CAO","Capital transfers from other sectors","E","Millions of euro","A","Annual","2016","2016",625.2,,
"S1300","General government","CAO","Capital transfers from other sectors","E","Millions of euro","A","Annual","2017","2017",456.5,,
"S1300","General government","CAO","Capital transfers from other sectors","E","Millions of euro","A","Annual","2018","2018",265.6,,
"S1300","General government","TOE","Expenditure","E","Millions of euro","A","Annual","2014","2014",221143.7,,
"S1300","General government","TOE","Expenditure","E","Millions of euro","A","Annual","2015","2015",220888.8,,
"S1300","General government","TOE","Expenditure","E","Millions of euro","A","Annual","2016","2016",225423.2,,
"S1300","General government","TOE","Expenditure","E","Millions of euro","A","Annual","2017","2017",228945,,
"S1300","General government","TOE","Expenditure","E","Millions of euro","A","Annual","2018","2018",235976.4,,
"S1300","General government","1CE","Current expenditure excluding interest charges","E","Millions of euro","A","Annual","2014","2014",191557.2,,
"S1300","General government","1CE","Current expenditure excluding interest charges","E","Millions of euro","A","Annual","2015","2015",193690.6,,
"S1300","General government","1CE","Current expenditure excluding interest charges","E","Millions of euro","A","Annual","2016","2016",199323.3,,
"S1300","General government","1CE","Current expenditure excluding interest charges","E","Millions of euro","A","Annual","2017","2017",204001.8,,
"S1300","General government","1CE","Current expenditure excluding interest charges","E","Millions of euro","A","Annual","2018","2018",210801.8,,
"S1300","General government","COE","Compensation of employees","E","Millions of euro","A","Annual","2014","2014",50890.3,,
"S1300","General government","COE","Compensation of employees","E","Millions of euro","A","Annual","2015","2015",51157,,
"S1300","General government","COE","Compensation of employees","E","Millions of euro","A","Annual","2016","2016",52371.8,,
"S1300","General government","COE","Compensation of employees","E","Millions of euro","A","Annual","2017","2017",53995.8,,
"S1300","General government","COE","Compensation of employees","E","Millions of euro","A","Annual","2018","2018",55208.1,,
"S1300","General government","1IC","Intermediate consumption and paid taxes","E","Millions of euro","A","Annual","2014","2014",17041.8,,
"S1300","General government","1IC","Intermediate consumption and paid taxes","E","Millions of euro","A","Annual","2015","2015",16706.1,,
"S1300","General government","1IC","Intermediate consumption and paid taxes","E","Millions of euro","A","Annual","2016","2016",16899.2,,
"S1300","General government","1IC","Intermediate consumption and paid taxes","E","Millions of euro","A","Annual","2017","2017",17439.2,,
"S1300","General government","1IC","Intermediate consumption and paid taxes","E","Millions of euro","A","Annual","2018","2018",18422.2,,
"S1300","General government","1SB","Social benefits","E","Millions of euro","A","Annual","2014","2014",101301.1,,
"S1300","General government","1SB","Social benefits","E","Millions of euro","A","Annual","2015","2015",103436.1,,
"S1300","General government","1SB","Social benefits","E","Millions of euro","A","Annual","2016","2016",106660.5,,
"S1300","General government","1SB","Social benefits","E","Millions of euro","A","Annual","2017","2017",109910.9,,
"S1300","General government","1SB","Social benefits","E","Millions of euro","A","Annual","2018","2018",113528.5,,
"S1300","General government","1SB_H","Health care","E","Millions of euro","A","Annual","2014","2014",27791.2,,
"S1300","General government","1SB_H","Health care","E","Millions of euro","A","Annual","2015","2015",28432.1,,
"S1300","General government","1SB_H","Health care","E","Millions of euro","A","Annual","2016","2016",29099.7,,
"S1300","General government","1SB_H","Health care","E","Millions of euro","A","Annual","2017","2017",30031.7,,
"S1300","General government","1SB_H","Health care","E","Millions of euro","A","Annual","2018","2018",30747.1,,
"S1300","General government","1SB_S","Sickness and disability benefits","E","Millions of euro","A","Annual","2014","2014",7041.8,,
"S1300","General government","1SB_S","Sickness and disability benefits","E","Millions of euro","A","Annual","2015","2015",7449.4,,
"S1300","General government","1SB_S","Sickness and disability benefits","E","Millions of euro","A","Annual","2016","2016",7842.5,,
"S1300","General government","1SB_S","Sickness and disability benefits","E","Millions of euro","A","Annual","2017","2017",8212.3,,
"S1300","General government","1SB_S","Sickness and disability benefits","E","Millions of euro","A","Annual","2018","2018",8769.9,,
"S1300","General government","1SB_U","Unemployment","E","Millions of euro","A","Annual","2014","2014",6627.2,,
"S1300","General government","1SB_U","Unemployment","E","Millions of euro","A","Annual","2015","2015",6034.9,,
"S1300","General government","1SB_U","Unemployment","E","Millions of euro","A","Annual","2016","2016",5799.3,,
"S1300","General government","1SB_U","Unemployment","E","Millions of euro","A","Annual","2017","2017",5403.6,,
"S1300","General government","1SB_U","Unemployment","E","Millions of euro","A","Annual","2018","2018",5224.9,,
"S1300","General government","1SB_R","Early retirement pensions and career termination","E","Millions of euro","A","Annual","2014","2014",2378.9,,
"S1300","General government","1SB_R","Early retirement pensions and career termination","E","Millions of euro","A","Annual","2015","2015",2327.8,,
"S1300","General government","1SB_R","Early retirement pensions and career termination","E","Millions of euro","A","Annual","2016","2016",2221.9,,
"S1300","General government","1SB_R","Early retirement pensions and career termination","E","Millions of euro","A","Annual","2017","2017",2018.1,,
"S1300","General government","1SB_R","Early retirement pensions and career termination","E","Millions of euro","A","Annual","2018","2018",1806.4,,
"S1300","General government","1SB_P","Pensions","E","Millions of euro","A","Annual","2014","2014",41284,,
"S1300","General government","1SB_P","Pensions","E","Millions of euro","A","Annual","2015","2015",42567.3,,
"S1300","General government","1SB_P","Pensions","E","Millions of euro","A","Annual","2016","2016",44245.5,,
"S1300","General government","1SB_P","Pensions","E","Millions of euro","A","Annual","2017","2017",46255,,
"S1300","General government","1SB_P","Pensions","E","Millions of euro","A","Annual","2018","2018",48011.2,,
"S1300","General government","1SB_F","Family allowances","E","Millions of euro","A","Annual","2014","2014",6282.3,,
"S1300","General government","1SB_F","Family allowances","E","Millions of euro","A","Annual","2015","2015",6309,,
"S1300","General government","1SB_F","Family allowances","E","Millions of euro","A","Annual","2016","2016",6373.3,,
"S1300","General government","1SB_F","Family allowances","E","Millions of euro","A","Annual","2017","2017",6497.9,,
"S1300","General government","1SB_F","Family allowances","E","Millions of euro","A","Annual","2018","2018",6644,,
"S1300","General government","1SB_O","Other","E","Millions of euro","A","Annual","2014","2014",9895.7,,
"S1300","General government","1SB_O","Other","E","Millions of euro","A","Annual","2015","2015",10315.6,,
"S1300","General government","1SB_O","Other","E","Millions of euro","A","Annual","2016","2016",11078.3,,
"S1300","General government","1SB_O","Other","E","Millions of euro","A","Annual","2017","2017",11492.3,,
"S1300","General government","1SB_O","Other","E","Millions of euro","A","Annual","2018","2018",12325,,
"S1300","General government","1SBM","Social benefits in cash","E","Millions of euro","A","Annual","2014","2014",69181.9,,
"S1300","General government","1SBM","Social benefits in cash","E","Millions of euro","A","Annual","2015","2015",70668.6,,
"S1300","General government","1SBM","Social benefits in cash","E","Millions of euro","A","Annual","2016","2016",72856.2,,
"S1300","General government","1SBM","Social benefits in cash","E","Millions of euro","A","Annual","2017","2017",75090.6,,
"S1300","General government","1SBM","Social benefits in cash","E","Millions of euro","A","Annual","2018","2018",77720.2,,
"S1300","General government","1SBN","Social benefits in kind provided by market producers","E","Millions of euro","A","Annual","2014","2014",32119.2,,
"S1300","General government","1SBN","Social benefits in kind provided by market producers","E","Millions of euro","A","Annual","2015","2015",32767.5,,
"S1300","General government","1SBN","Social benefits in kind provided by market producers","E","Millions of euro","A","Annual","2016","2016",33804.3,,
"S1300","General government","1SBN","Social benefits in kind provided by market producers","E","Millions of euro","A","Annual","2017","2017",34820.3,,
"S1300","General government","1SBN","Social benefits in kind provided by market producers","E","Millions of euro","A","Annual","2018","2018",35808.3,,
"S1300","General government","CTE","Subsidies","E","Millions of euro","A","Annual","2014","2014",13996.4,,
"S1300","General government","CTE","Subsidies","E","Millions of euro","A","Annual","2015","2015",14044.5,,
"S1300","General government","CTE","Subsidies","E","Millions of euro","A","Annual","2016","2016",14259.8,,
"S1300","General government","CTE","Subsidies","E","Millions of euro","A","Annual","2017","2017",14857.5,,
"S1300","General government","CTE","Subsidies","E","Millions of euro","A","Annual","2018","2018",14906.6,,
"S1300","General government","1CT","Current transfers to the rest of the world (ROW)","E","Millions of euro","A","Annual","2014","2014",4781.5,,
"S1300","General government","1CT","Current transfers to the rest of the world (ROW)","E","Millions of euro","A","Annual","2015","2015",5087.3,,
"S1300","General government","1CT","Current transfers to the rest of the world (ROW)","E","Millions of euro","A","Annual","2016","2016",5544.7,,
"S1300","General government","1CT","Current transfers to the rest of the world (ROW)","E","Millions of euro","A","Annual","2017","2017",4282.3,,
"S1300","General government","1CT","Current transfers to the rest of the world (ROW)","E","Millions of euro","A","Annual","2018","2018",5146.3,,
"S1300","General government","1OT","Other current transfers","E","Millions of euro","A","Annual","2014","2014",3546.1,,
"S1300","General government","1OT","Other current transfers","E","Millions of euro","A","Annual","2015","2015",3259.6,,
"S1300","General government","1OT","Other current transfers","E","Millions of euro","A","Annual","2016","2016",3587.3,,
"S1300","General government","1OT","Other current transfers","E","Millions of euro","A","Annual","2017","2017",3516.1,,
"S1300","General government","1OT","Other current transfers","E","Millions of euro","A","Annual","2018","2018",3590.1,,
"S1300","General government","1OT_HH","Current transfers to households","E","Millions of euro","A","Annual","2014","2014",3319.7,,
"S1300","General government","1OT_HH","Current transfers to households","E","Millions of euro","A","Annual","2015","2015",2987,,
"S1300","General government","1OT_HH","Current transfers to households","E","Millions of euro","A","Annual","2016","2016",3361.5,,
"S1300","General government","1OT_HH","Current transfers to households","E","Millions of euro","A","Annual","2017","2017",3296.3,,
"S1300","General government","1OT_HH","Current transfers to households","E","Millions of euro","A","Annual","2018","2018",3365.5,,
"S1300","General government","1OT_CO","Current transfers to companies","E","Millions of euro","A","Annual","2014","2014",226.4,,
"S1300","General government","1OT_CO","Current transfers to companies","E","Millions of euro","A","Annual","2015","2015",272.6,,
"S1300","General government","1OT_CO","Current transfers to companies","E","Millions of euro","A","Annual","2016","2016",225.8,,
"S1300","General government","1OT_CO","Current transfers to companies","E","Millions of euro","A","Annual","2017","2017",219.8,,
"S1300","General government","1OT_CO","Current transfers to companies","E","Millions of euro","A","Annual","2018","2018",224.6,,
"S1300","General government","INT_C","Interest charges","E","Millions of euro","A","Annual","2014","2014",13056.5,,
"S1300","General government","INT_C","Interest charges","E","Millions of euro","A","Annual","2015","2015",12447.5,,
"S1300","General government","INT_C","Interest charges","E","Millions of euro","A","Annual","2016","2016",12074.3,,
"S1300","General government","INT_C","Interest charges","E","Millions of euro","A","Annual","2017","2017",10864.6,,
"S1300","General government","INT_C","Interest charges","E","Millions of euro","A","Annual","2018","2018",10154.8,,
"S1300","General government","KEX","Capital expenditure","E","Millions of euro","A","Annual","2014","2014",16530,,
"S1300","General government","KEX","Capital expenditure","E","Millions of euro","A","Annual","2015","2015",14750.7,,
"S1300","General government","KEX","Capital expenditure","E","Millions of euro","A","Annual","2016","2016",14025.6,,
"S1300","General government","KEX","Capital expenditure","E","Millions of euro","A","Annual","2017","2017",14078.6,,
"S1300","General government","KEX","Capital expenditure","E","Millions of euro","A","Annual","2018","2018",15019.8,,
"S1300","General government","INV","Gross fixed capital formation","E","Millions of euro","A","Annual","2014","2014",9367,,
"S1300","General government","INV","Gross fixed capital formation","E","Millions of euro","A","Annual","2015","2015",9492.9,,
"S1300","General government","INV","Gross fixed capital formation","E","Millions of euro","A","Annual","2016","2016",9336.5,,
"S1300","General government","INV","Gross fixed capital formation","E","Millions of euro","A","Annual","2017","2017",9813.5,,
"S1300","General government","INV","Gross fixed capital formation","E","Millions of euro","A","Annual","2018","2018",10797.6,,
"S1300","General government","1CA","Other capital expenditure","E","Millions of euro","A","Annual","2014","2014",7163,,
"S1300","General government","1CA","Other capital expenditure","E","Millions of euro","A","Annual","2015","2015",5257.8,,
"S1300","General government","1CA","Other capital expenditure","E","Millions of euro","A","Annual","2016","2016",4689.1,,
"S1300","General government","1CA","Other capital expenditure","E","Millions of euro","A","Annual","2017","2017",4265.1,,
"S1300","General government","1CA","Other capital expenditure","E","Millions of euro","A","Annual","2018","2018",4222.2,,
"S1300","General government","1CA_A","Other net acquisitions of non-financial assets","E","Millions of euro","A","Annual","2014","2014",-23.2,,
"S1300","General government","1CA_A","Other net acquisitions of non-financial assets","E","Millions of euro","A","Annual","2015","2015",116.2,,
"S1300","General government","1CA_A","Other net acquisitions of non-financial assets","E","Millions of euro","A","Annual","2016","2016",85.3,,
"S1300","General government","1CA_A","Other net acquisitions of non-financial assets","E","Millions of euro","A","Annual","2017","2017",162.4,,
"S1300","General government","1CA_A","Other net acquisitions of non-financial assets","E","Millions of euro","A","Annual","2018","2018",226.3,,
"S1300","General government","1CA_O","Capital transfers to other sectors","E","Millions of euro","A","Annual","2014","2014",7186.2,,
"S1300","General government","1CA_O","Capital transfers to other sectors","E","Millions of euro","A","Annual","2015","2015",5141.6,,
"S1300","General government","1CA_O","Capital transfers to other sectors","E","Millions of euro","A","Annual","2016","2016",4603.8,,
"S1300","General government","1CA_O","Capital transfers to other sectors","E","Millions of euro","A","Annual","2017","2017",4102.7,,
"S1300","General government","1CA_O","Capital transfers to other sectors","E","Millions of euro","A","Annual","2018","2018",3995.9,,
"S1300","General government","GSV","Gross saving","E","Millions of euro","A","Annual","2014","2014",7.6,,
"S1300","General government","GSV","Gross saving","E","Millions of euro","A","Annual","2015","2015",1091.2,,
"S1300","General government","GSV","Gross saving","E","Millions of euro","A","Annual","2016","2016",-171.2,,
"S1300","General government","GSV","Gross saving","E","Millions of euro","A","Annual","2017","2017",6360.3,,
"S1300","General government","GSV","Gross saving","E","Millions of euro","A","Annual","2018","2018",7887.4,,
"S1300","General government","DEF","Net lending (+) or net borrowing (-)","E","Millions of euro","A","Annual","2014","2014",-12397,,
"S1300","General government","DEF","Net lending (+) or net borrowing (-)","E","Millions of euro","A","Annual","2015","2015",-9819,,
"S1300","General government","DEF","Net lending (+) or net borrowing (-)","E","Millions of euro","A","Annual","2016","2016",-10225,,
"S1300","General government","DEF","Net lending (+) or net borrowing (-)","E","Millions of euro","A","Annual","2017","2017",-3644,,
"S1300","General government","DEF","Net lending (+) or net borrowing (-)","E","Millions of euro","A","Annual","2018","2018",-3096,,
"S1300","General government","PDF","Primary balance","E","Millions of euro","A","Annual","2014","2014",659.4,,
"S1300","General government","PDF","Primary balance","E","Millions of euro","A","Annual","2015","2015",2628.1,,
"S1300","General government","PDF","Primary balance","E","Millions of euro","A","Annual","2016","2016",1849.1,,
"S1300","General government","PDF","Primary balance","E","Millions of euro","A","Annual","2017","2017",7220.4,,
"S1300","General government","PDF","Primary balance","E","Millions of euro","A","Annual","2018","2018",7058.8,,
"S1311","Federal government","TOR","Receipts","E","Millions of euro","A","Annual","2014","2014",112788.4,,
"S1311","Federal government","TOR","Receipts","E","Millions of euro","A","Annual","2015","2015",108004.3,,
"S1311","Federal government","TOR","Receipts","E","Millions of euro","A","Annual","2016","2016",105347.4,,
"S1311","Federal government","TOR","Receipts","E","Millions of euro","A","Annual","2017","2017",111477.9,,
"S1311","Federal government","TOR","Receipts","E","Millions of euro","A","Annual","2018","2018",119322,,
"S1311","Federal government","1FP","Fiscal and parafiscal receipts","E","Millions of euro","A","Annual","2014","2014",104397.9,,
"S1311","Federal government","1FP","Fiscal and parafiscal receipts","E","Millions of euro","A","Annual","2015","2015",100537.4,,
"S1311","Federal government","1FP","Fiscal and parafiscal receipts","E","Millions of euro","A","Annual","2016","2016",94891.8,,
"S1311","Federal government","1FP","Fiscal and parafiscal receipts","E","Millions of euro","A","Annual","2017","2017",100836.9,,
"S1311","Federal government","1FP","Fiscal and parafiscal receipts","E","Millions of euro","A","Annual","2018","2018",106666.9,,
"S1311","Federal government","DTX","Direct taxes","E","Millions of euro","A","Annual","2014","2014",61598.3,,
"S1311","Federal government","DTX","Direct taxes","E","Millions of euro","A","Annual","2015","2015",57524.2,,
"S1311","Federal government","DTX","Direct taxes","E","Millions of euro","A","Annual","2016","2016",52451.3,,
"S1311","Federal government","DTX","Direct taxes","E","Millions of euro","A","Annual","2017","2017",57165.4,,
"S1311","Federal government","DTX","Direct taxes","E","Millions of euro","A","Annual","2018","2018",61025.9,,
"S1311","Federal government","DTX_I","Households","E","Millions of euro","A","Annual","2014","2014",48014.1,,
"S1311","Federal government","DTX_I","Households","E","Millions of euro","A","Annual","2015","2015",42868.7,,
"S1311","Federal government","DTX_I","Households","E","Millions of euro","A","Annual","2016","2016",36618.2,,
"S1311","Federal government","DTX_I","Households","E","Millions of euro","A","Annual","2017","2017",38017.3,,
"S1311","Federal government","DTX_I","Households","E","Millions of euro","A","Annual","2018","2018",40164.3,,
"S1311","Federal government","DTX_C","Corporations","E","Millions of euro","A","Annual","2014","2014",12586.2,,
"S1311","Federal government","DTX_C","Corporations","E","Millions of euro","A","Annual","2015","2015",13643.2,,
"S1311","Federal government","DTX_C","Corporations","E","Millions of euro","A","Annual","2016","2016",14760.1,,
"S1311","Federal government","DTX_C","Corporations","E","Millions of euro","A","Annual","2017","2017",18126.7,,
"S1311","Federal government","DTX_C","Corporations","E","Millions of euro","A","Annual","2018","2018",19770.6,,
"S1311","Federal government","DTX_O","Other sectors","E","Millions of euro","A","Annual","2014","2014",998,,
"S1311","Federal government","DTX_O","Other sectors","E","Millions of euro","A","Annual","2015","2015",1012.3,,
"S1311","Federal government","DTX_O","Other sectors","E","Millions of euro","A","Annual","2016","2016",1073,,
"S1311","Federal government","DTX_O","Other sectors","E","Millions of euro","A","Annual","2017","2017",1021.4,,
"S1311","Federal government","DTX_O","Other sectors","E","Millions of euro","A","Annual","2018","2018",1091,,
"S1311","Federal government","ITX","Indirect taxes","E","Millions of euro","A","Annual","2014","2014",39670.1,,
"S1311","Federal government","ITX","Indirect taxes","E","Millions of euro","A","Annual","2015","2015",40115.5,,
"S1311","Federal government","ITX","Indirect taxes","E","Millions of euro","A","Annual","2016","2016",41955.1,,
"S1311","Federal government","ITX","Indirect taxes","E","Millions of euro","A","Annual","2017","2017",43116.9,,
"S1311","Federal government","ITX","Indirect taxes","E","Millions of euro","A","Annual","2018","2018",45054.1,,
"S1311","Federal government","SCA","Actual social contributions","E","Millions of euro","A","Annual","2014","2014",2325.1,,
"S1311","Federal government","SCA","Actual social contributions","E","Millions of euro","A","Annual","2015","2015",2334.3,,
"S1311","Federal government","SCA","Actual social contributions","E","Millions of euro","A","Annual","2016","2016",70.6,,
"S1311","Federal government","SCA","Actual social contributions","E","Millions of euro","A","Annual","2017","2017",67.4,,
"S1311","Federal government","SCA","Actual social contributions","E","Millions of euro","A","Annual","2018","2018",66.4,,
"S1311","Federal government","KTX","Taxes on capital","E","Millions of euro","A","Annual","2014","2014",804.4,,
"S1311","Federal government","KTX","Taxes on capital","E","Millions of euro","A","Annual","2015","2015",563.4,,
"S1311","Federal government","KTX","Taxes on capital","E","Millions of euro","A","Annual","2016","2016",414.8,,
"S1311","Federal government","KTX","Taxes on capital","E","Millions of euro","A","Annual","2017","2017",487.2,,
"S1311","Federal government","KTX","Taxes on capital","E","Millions of euro","A","Annual","2018","2018",520.5,,
"S1311","Federal government","1NF","Non-fiscal and non-parafiscal receipts","E","Millions of euro","A","Annual","2014","2014",8187.5,,
"S1311","Federal government","1NF","Non-fiscal and non-parafiscal receipts","E","Millions of euro","A","Annual","2015","2015",7198.7,,
"S1311","Federal government","1NF","Non-fiscal and non-parafiscal receipts","E","Millions of euro","A","Annual","2016","2016",7840.9,,
"S1311","Federal government","1NF","Non-fiscal and non-parafiscal receipts","E","Millions of euro","A","Annual","2017","2017",7906.1,,
"S1311","Federal government","1NF","Non-fiscal and non-parafiscal receipts","E","Millions of euro","A","Annual","2018","2018",8102.5,,
"S1311","Federal government","SCI","Imputed social contributions","E","Millions of euro","A","Annual","2014","2014",2508.5,,
"S1311","Federal government","SCI","Imputed social contributions","E","Millions of euro","A","Annual","2015","2015",2358.2,,
"S1311","Federal government","SCI","Imputed social contributions","E","Millions of euro","A","Annual","2016","2016",2427.8,,
"S1311","Federal government","SCI","Imputed social contributions","E","Millions of euro","A","Annual","2017","2017",2497.6,,
"S1311","Federal government","SCI","Imputed social contributions","E","Millions of euro","A","Annual","2018","2018",2629,,
"S1311","Federal government","INT_R","Received interests","E","Millions of euro","A","Annual","2014","2014",516.9,,
"S1311","Federal government","INT_R","Received interests","E","Millions of euro","A","Annual","2015","2015",475.8,,
